benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers
deriche,MEDIUM,15,LSS,1.0,O2,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,LSS,1.0,O3,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,LSS,1.75,O0,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,LSS,1.75,O2,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,LSS,1.75,O3,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,10,ALL_BRAM,1.0,O0,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,ALL_BRAM,1.0,O2,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,ALL_BRAM,1.0,O3,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,ALL_BRAM,1.75,O0,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,ALL_BRAM,1.75,O2,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,ALL_BRAM,1.75,O3,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,LSS,1.0,O0,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,LSS,1.0,O2,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,LSS,1.0,O3,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,LSS,1.75,O0,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,LSS,1.75,O2,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,10,LSS,1.75,O3,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,SMALL,15,ALL_BRAM,1.0,O0,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,ALL_BRAM,1.0,O2,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,ALL_BRAM,1.0,O3,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,ALL_BRAM,1.75,O0,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,ALL_BRAM,1.75,O2,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,ALL_BRAM,1.75,O3,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,LSS,1.0,O0,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,LSS,1.0,O2,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,LSS,1.0,O3,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,LSS,1.75,O0,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,LSS,1.75,O2,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,SMALL,15,LSS,1.75,O3,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
floyd-warshall,MEDIUM,10,ALL_BRAM,1.0,O0,13,0.6331999940000177,106.76004605195388,11,95,6,439,1050,68,1118,16
floyd-warshall,MEDIUM,10,ALL_BRAM,1.0,O2,20,0.6331999940000177,106.76004605195388,18,136,12,759,1393,139,1532,29
floyd-warshall,MEDIUM,10,ALL_BRAM,1.0,O3,20,0.6331999940000177,106.76004605195388,18,136,12,759,1393,139,1532,29
floyd-warshall,MEDIUM,10,ALL_BRAM,1.75,O0,13,0.6331999940000177,106.76004605195388,11,95,6,439,1050,68,1118,16
floyd-warshall,MEDIUM,10,ALL_BRAM,1.75,O2,20,0.6331999940000177,106.76004605195388,18,136,12,759,1393,139,1532,29
floyd-warshall,MEDIUM,10,ALL_BRAM,1.75,O3,20,0.6331999940000177,106.76004605195388,18,136,12,759,1393,139,1532,29
floyd-warshall,MEDIUM,10,LSS,1.0,O0,13,0.6331999940000177,106.76004605195388,14,95,5,471,1318,103,1421,17
floyd-warshall,MEDIUM,10,LSS,1.0,O2,18,0.6331999940000177,106.76004605195388,24,136,9,823,1661,176,1837,31
floyd-warshall,MEDIUM,10,LSS,1.0,O3,18,0.6331999940000177,106.76004605195388,24,136,9,823,1661,176,1837,31
floyd-warshall,MEDIUM,10,LSS,1.75,O0,13,0.6331999940000177,106.76004605195388,14,95,5,471,1318,103,1421,17
floyd-warshall,MEDIUM,10,LSS,1.75,O2,18,0.6331999940000177,106.76004605195388,24,136,9,823,1661,176,1837,31
floyd-warshall,MEDIUM,10,LSS,1.75,O3,18,0.6331999940000177,106.76004605195388,24,136,9,823,1661,176,1837,31
floyd-warshall,MEDIUM,15,ALL_BRAM,1.0,O0,13,5.633199994000004,106.76004605195372,11,95,0,439,1050,68,1118,16
floyd-warshall,MEDIUM,15,ALL_BRAM,1.0,O2,20,5.633199994000004,106.76004605195372,18,136,1,727,1393,138,1531,28
floyd-warshall,MEDIUM,15,ALL_BRAM,1.0,O3,20,5.633199994000004,106.76004605195372,18,136,1,727,1393,138,1531,28
floyd-warshall,MEDIUM,15,ALL_BRAM,1.75,O0,13,5.633199994000004,106.76004605195372,11,95,0,439,1050,68,1118,16
floyd-warshall,MEDIUM,15,ALL_BRAM,1.75,O2,20,5.633199994000004,106.76004605195372,18,136,1,727,1393,138,1531,28
floyd-warshall,MEDIUM,15,ALL_BRAM,1.75,O3,20,5.633199994000004,106.76004605195372,18,136,1,727,1393,138,1531,28
floyd-warshall,MEDIUM,15,LSS,1.0,O0,13,5.633199994000004,106.76004605195372,14,95,0,503,1318,102,1420,18
floyd-warshall,MEDIUM,15,LSS,1.0,O2,18,5.633199994000004,106.76004605195372,24,136,0,823,1661,209,1870,31
floyd-warshall,MEDIUM,15,LSS,1.0,O3,18,5.633199994000004,106.76004605195372,24,136,0,823,1661,209,1870,31
floyd-warshall,MEDIUM,15,LSS,1.75,O0,13,5.633199994000004,106.76004605195372,14,95,0,503,1318,102,1420,18
floyd-warshall,MEDIUM,15,LSS,1.75,O2,18,5.633199994000004,106.76004605195372,24,136,0,823,1661,209,1870,31
floyd-warshall,MEDIUM,15,LSS,1.75,O3,18,5.633199994000004,106.76004605195372,24,136,0,823,1661,209,1870,31
floyd-warshall,SMALL,10,ALL_BRAM,1.0,O0,13,0.6331999940000177,106.76004605195388,11,95,5,441,1050,68,1118,15
floyd-warshall,SMALL,10,ALL_BRAM,1.0,O2,20,0.6331999940000177,106.76004605195388,18,136,13,761,1393,139,1532,28
floyd-warshall,SMALL,10,ALL_BRAM,1.0,O3,20,0.6331999940000177,106.76004605195388,18,136,13,761,1393,139,1532,28
floyd-warshall,SMALL,10,ALL_BRAM,1.75,O0,13,0.6331999940000177,106.76004605195388,11,95,5,441,1050,68,1118,15
floyd-warshall,SMALL,10,ALL_BRAM,1.75,O2,20,0.6331999940000177,106.76004605195388,18,136,13,761,1393,139,1532,28
floyd-warshall,SMALL,10,ALL_BRAM,1.75,O3,20,0.6331999940000177,106.76004605195388,18,136,13,761,1393,139,1532,28
floyd-warshall,SMALL,10,LSS,1.0,O0,13,0.6331999940000177,106.76004605195388,14,95,4,473,1318,103,1421,16
floyd-warshall,SMALL,10,LSS,1.0,O2,18,0.6331999940000177,106.76004605195388,24,136,10,825,1661,176,1837,30
floyd-warshall,SMALL,10,LSS,1.0,O3,18,0.6331999940000177,106.76004605195388,24,136,10,825,1661,176,1837,30
floyd-warshall,SMALL,10,LSS,1.75,O0,13,0.6331999940000177,106.76004605195388,14,95,4,473,1318,103,1421,16
floyd-warshall,SMALL,10,LSS,1.75,O2,18,0.6331999940000177,106.76004605195388,24,136,10,825,1661,176,1837,30
floyd-warshall,SMALL,10,LSS,1.75,O3,18,0.6331999940000177,106.76004605195388,24,136,10,825,1661,176,1837,30
floyd-warshall,SMALL,15,ALL_BRAM,1.0,O0,13,5.633199994000032,106.76004605195403,11,95,0,441,1050,68,1118,15
floyd-warshall,SMALL,15,ALL_BRAM,1.0,O2,20,5.633199994000032,106.76004605195403,18,136,1,729,1393,138,1531,27
floyd-warshall,SMALL,15,ALL_BRAM,1.0,O3,20,5.633199994000032,106.76004605195403,18,136,1,729,1393,138,1531,27
floyd-warshall,SMALL,15,ALL_BRAM,1.75,O0,13,5.633199994000032,106.76004605195403,11,95,0,441,1050,68,1118,15
floyd-warshall,SMALL,15,ALL_BRAM,1.75,O2,20,5.633199994000032,106.76004605195403,18,136,1,729,1393,138,1531,27
floyd-warshall,SMALL,15,ALL_BRAM,1.75,O3,20,5.633199994000032,106.76004605195403,18,136,1,729,1393,138,1531,27
floyd-warshall,SMALL,15,LSS,1.0,O0,13,5.633199994000032,106.76004605195403,14,95,0,505,1318,102,1420,17
floyd-warshall,SMALL,15,LSS,1.0,O2,18,5.633199994000032,106.76004605195403,24,136,0,825,1661,209,1870,30
floyd-warshall,SMALL,15,LSS,1.0,O3,18,5.633199994000032,106.76004605195403,24,136,0,825,1661,209,1870,30
floyd-warshall,SMALL,15,LSS,1.75,O0,13,5.633199994000032,106.76004605195403,14,95,0,505,1318,102,1420,17
floyd-warshall,SMALL,15,LSS,1.75,O2,18,5.633199994000032,106.76004605195403,24,136,0,825,1661,209,1870,30
floyd-warshall,SMALL,15,LSS,1.75,O3,18,5.633199994000032,106.76004605195403,24,136,0,825,1661,209,1870,30
gemm,MEDIUM,10,ALL_BRAM,1.0,O0,37,0.0363999969999984,100.3653297702541,35,199,5,956,6225,139,6364,29
gemm,MEDIUM,10,ALL_BRAM,1.0,O2,98,0.0363999969999984,100.3653297702541,96,332,47,1588,6862,378,7240,55
gemm,MEDIUM,10,ALL_BRAM,1.0,O3,131,0.0363999969999984,100.3653297702541,129,378,85,1937,7295,477,7772,68
gemm,MEDIUM,10,ALL_BRAM,1.75,O0,43,0.0170666606666802,100.17095837552512,41,199,5,956,6225,139,6364,29
gemm,MEDIUM,10,ALL_BRAM,1.75,O2,120,0.0170666606666802,100.17095837552512,118,332,47,1588,6862,378,7240,55
gemm,MEDIUM,10,ALL_BRAM,1.75,O3,163,0.0170666606666802,100.17095837552512,161,378,85,1937,7295,477,7772,68
gemm,MEDIUM,10,LSS,1.0,O0,37,0.0363999969999984,100.3653297702541,40,200,3,988,6527,141,6668,30
gemm,MEDIUM,10,LSS,1.0,O2,101,0.0363999969999984,100.3653297702541,115,333,20,1652,7164,442,7606,57
gemm,MEDIUM,10,LSS,1.0,O3,137,0.0363999969999984,100.3653297702541,159,380,85,1937,7631,511,8142,68
gemm,MEDIUM,10,LSS,1.75,O0,43,0.0170666606666802,100.17095837552512,46,200,3,988,6527,141,6668,30
gemm,MEDIUM,10,LSS,1.75,O2,123,0.0170666606666802,100.17095837552512,137,333,20,1652,7164,442,7606,57
gemm,MEDIUM,10,LSS,1.75,O3,169,0.0170666606666802,100.17095837552512,191,380,85,1937,7631,511,8142,68
gemm,MEDIUM,15,ALL_BRAM,1.0,O0,29,0.0494726426666805,66.88727267600325,27,199,0,956,6225,139,6364,29
gemm,MEDIUM,15,ALL_BRAM,1.0,O2,72,0.0494726426666236,66.887272676003,70,332,0,1588,6862,378,7240,55
gemm,MEDIUM,15,ALL_BRAM,1.0,O3,94,0.0494726426666236,66.887272676003,92,377,0,1873,7261,511,7772,66
gemm,MEDIUM,15,ALL_BRAM,1.75,O0,29,0.0494726426666805,66.88727267600325,27,199,0,956,6225,139,6364,29
gemm,MEDIUM,15,ALL_BRAM,1.75,O2,72,0.0494726426666236,66.887272676003,70,332,0,1588,6862,378,7240,55
gemm,MEDIUM,15,ALL_BRAM,1.75,O3,94,0.0494726426666236,66.887272676003,92,377,0,1873,7261,511,7772,66
gemm,MEDIUM,15,LSS,1.0,O0,30,0.0494726426666805,66.88727267600325,33,199,0,988,6493,141,6634,30
gemm,MEDIUM,15,LSS,1.0,O2,76,0.0494726426666236,66.887272676003,90,332,0,1652,7130,442,7572,57
gemm,MEDIUM,15,LSS,1.0,O3,102,0.0494726426667373,66.8872726760035,124,377,0,1937,7529,511,8040,68
gemm,MEDIUM,15,LSS,1.75,O0,30,0.0494726426666805,66.88727267600325,33,199,0,988,6493,141,6634,30
gemm,MEDIUM,15,LSS,1.75,O2,76,0.0494726426666236,66.887272676003,90,332,0,1652,7130,442,7572,57
gemm,MEDIUM,15,LSS,1.75,O3,102,0.0494726426667373,66.8872726760035,124,377,0,1937,7529,511,8040,68
gemm,SMALL,10,ALL_BRAM,1.0,O0,37,0.0363999969999984,100.3653297702541,35,214,5,958,6237,139,6376,29
gemm,SMALL,10,ALL_BRAM,1.0,O2,98,0.0363999969999984,100.3653297702541,96,353,47,1592,6878,378,7256,55
gemm,SMALL,10,ALL_BRAM,1.0,O3,131,0.0363999969999984,100.3653297702541,129,404,85,1942,7315,477,7792,68
gemm,SMALL,10,ALL_BRAM,1.75,O0,43,0.0170666606666802,100.17095837552512,41,214,5,958,6237,139,6376,29
gemm,SMALL,10,ALL_BRAM,1.75,O2,120,0.0170666606666802,100.17095837552512,118,353,47,1592,6878,378,7256,55
gemm,SMALL,10,ALL_BRAM,1.75,O3,163,0.0170666606666802,100.17095837552512,161,404,85,1942,7315,477,7792,68
gemm,SMALL,10,LSS,1.0,O0,37,0.0363999969999984,100.3653297702541,40,215,3,990,6539,141,6680,30
gemm,SMALL,10,LSS,1.0,O2,101,0.0363999969999984,100.3653297702541,115,354,20,1656,7180,442,7622,57
gemm,SMALL,10,LSS,1.0,O3,137,0.0363999969999984,100.3653297702541,159,406,85,1942,7651,511,8162,68
gemm,SMALL,10,LSS,1.75,O0,43,0.0170666606666802,100.17095837552512,46,215,3,990,6539,141,6680,30
gemm,SMALL,10,LSS,1.75,O2,123,0.0170666606666802,100.17095837552512,137,354,20,1656,7180,442,7622,57
gemm,SMALL,10,LSS,1.75,O3,169,0.0170666606666802,100.17095837552512,191,406,85,1942,7651,511,8162,68
gemm,SMALL,15,ALL_BRAM,1.0,O0,29,0.0494726426666805,66.88727267600325,27,214,0,958,6237,139,6376,29
gemm,SMALL,15,ALL_BRAM,1.0,O2,72,0.0494726426666236,66.887272676003,70,353,0,1592,6878,378,7256,55
gemm,SMALL,15,ALL_BRAM,1.0,O3,94,0.0494726426666236,66.887272676003,92,403,0,1878,7281,511,7792,66
gemm,SMALL,15,ALL_BRAM,1.75,O0,29,0.0494726426666805,66.88727267600325,27,214,0,958,6237,139,6376,29
gemm,SMALL,15,ALL_BRAM,1.75,O2,72,0.0494726426666236,66.887272676003,70,353,0,1592,6878,378,7256,55
gemm,SMALL,15,ALL_BRAM,1.75,O3,94,0.0494726426666236,66.887272676003,92,403,0,1878,7281,511,7792,66
gemm,SMALL,15,LSS,1.0,O0,30,0.0494726426666805,66.88727267600325,33,214,0,990,6505,141,6646,30
gemm,SMALL,15,LSS,1.0,O2,76,0.0494726426666236,66.887272676003,90,353,0,1656,7146,442,7588,57
gemm,SMALL,15,LSS,1.0,O3,102,0.0494726426667373,66.8872726760035,124,403,0,1942,7549,511,8060,68
gemm,SMALL,15,LSS,1.75,O0,30,0.0494726426666805,66.88727267600325,33,214,0,990,6505,141,6646,30
gemm,SMALL,15,LSS,1.75,O2,76,0.0494726426666236,66.887272676003,90,353,0,1656,7146,442,7588,57
gemm,SMALL,15,LSS,1.75,O3,102,0.0494726426667373,66.8872726760035,124,403,0,1942,7549,511,8060,68
gemver,MEDIUM,10,ALL_BRAM,1.0,O0,79,0.0363999969999984,100.3653297702541,79,172,42,1381,5558,345,5903,42
gemver,MEDIUM,10,ALL_BRAM,1.0,O2,222,0.0363999969998847,100.36532977025296,220,336,196,2432,6805,712,7517,78
gemver,MEDIUM,10,ALL_BRAM,1.0,O3,222,0.0363999969998847,100.36532977025296,220,336,196,2432,6805,712,7517,78
gemver,MEDIUM,10,ALL_BRAM,1.75,O0,91,0.0170666606666802,100.17095837552512,91,172,42,1381,5558,343,5901,42
gemver,MEDIUM,10,ALL_BRAM,1.75,O2,258,0.0170666606666802,100.17095837552512,256,336,196,2432,6805,732,7537,78
gemver,MEDIUM,10,ALL_BRAM,1.75,O3,258,0.0170666606666802,100.17095837552512,256,336,196,2432,6805,732,7537,78
gemver,MEDIUM,10,LSS,1.0,O0,79,0.0363999969999984,100.3653297702541,90,172,24,1477,5826,479,6305,45
gemver,MEDIUM,10,LSS,1.0,O2,216,0.0363999969998847,100.36532977025296,253,337,138,2624,7107,788,7895,84
gemver,MEDIUM,10,LSS,1.0,O3,216,0.0363999969998847,100.36532977025296,253,337,138,2624,7107,788,7895,84
gemver,MEDIUM,10,LSS,1.75,O0,91,0.0170666606666802,100.17095837552512,102,172,24,1477,5826,444,6270,45
gemver,MEDIUM,10,LSS,1.75,O2,252,0.0170666606666802,100.17095837552512,289,337,138,2624,7107,759,7866,84
gemver,MEDIUM,10,LSS,1.75,O3,252,0.0170666606666802,100.17095837552512,289,337,138,2624,7107,759,7866,84
gemver,MEDIUM,15,ALL_BRAM,1.0,O0,62,0.0494726426666236,66.887272676003,62,172,6,1381,5558,344,5902,41
gemver,MEDIUM,15,ALL_BRAM,1.0,O2,171,0.0494726426666236,66.887272676003,169,337,36,2368,6839,666,7505,75
gemver,MEDIUM,15,ALL_BRAM,1.0,O3,171,0.0494726426666236,66.887272676003,169,337,36,2368,6839,666,7505,75
gemver,MEDIUM,15,ALL_BRAM,1.75,O0,62,0.0494726426666236,66.887272676003,62,172,6,1381,5558,344,5902,41
gemver,MEDIUM,15,ALL_BRAM,1.75,O2,171,0.0494726426666236,66.887272676003,169,337,36,2368,6839,666,7505,75
gemver,MEDIUM,15,ALL_BRAM,1.75,O3,171,0.0494726426666236,66.887272676003,169,337,36,2368,6839,666,7505,75
gemver,MEDIUM,15,LSS,1.0,O0,63,0.0494726426666236,66.887272676003,73,172,0,1541,5826,476,6302,46
gemver,MEDIUM,15,LSS,1.0,O2,167,0.0494726426666236,66.887272676003,202,336,0,2688,7073,803,7876,85
gemver,MEDIUM,15,LSS,1.0,O3,167,0.0494726426666236,66.887272676003,202,336,0,2688,7073,803,7876,85
gemver,MEDIUM,15,LSS,1.75,O0,63,0.0494726426666236,66.887272676003,73,172,0,1541,5826,476,6302,46
gemver,MEDIUM,15,LSS,1.75,O2,167,0.0494726426666236,66.887272676003,202,336,0,2688,7073,803,7876,85
gemver,MEDIUM,15,LSS,1.75,O3,167,0.0494726426666236,66.887272676003,202,336,0,2688,7073,803,7876,85
gemver,SMALL,10,ALL_BRAM,1.0,O0,78,0.0363999969999984,100.3653297702541,78,136,15,1319,5429,345,5774,37
gemver,SMALL,10,ALL_BRAM,1.0,O2,220,0.0363999969998847,100.36532977025296,218,268,72,2338,6521,644,7165,72
gemver,SMALL,10,ALL_BRAM,1.0,O3,220,0.0363999969998847,100.36532977025296,218,268,72,2338,6521,644,7165,72
gemver,SMALL,10,ALL_BRAM,1.75,O0,90,0.0170666606666802,100.17095837552512,90,136,15,1319,5429,343,5772,37
gemver,SMALL,10,ALL_BRAM,1.75,O2,256,0.0170666606666802,100.17095837552512,254,268,72,2338,6521,632,7153,72
gemver,SMALL,10,ALL_BRAM,1.75,O3,256,0.0170666606666802,100.17095837552512,254,268,72,2338,6521,632,7153,72
gemver,SMALL,10,LSS,1.0,O0,78,0.0363999969999984,100.3653297702541,88,136,1,1447,5697,475,6172,41
gemver,SMALL,10,LSS,1.0,O2,214,0.0363999969998847,100.36532977025296,249,268,19,2594,6789,802,7591,80
gemver,SMALL,10,LSS,1.0,O3,214,0.0363999969998847,100.36532977025296,249,268,19,2594,6789,802,7591,80
gemver,SMALL,10,LSS,1.75,O0,90,0.0170666606666802,100.17095837552512,100,136,1,1447,5697,477,6174,41
gemver,SMALL,10,LSS,1.75,O2,250,0.0170666606666802,100.17095837552512,285,268,19,2594,6789,835,7624,80
gemver,SMALL,10,LSS,1.75,O3,250,0.0170666606666802,100.17095837552512,285,268,19,2594,6789,835,7624,80
gemver,SMALL,15,ALL_BRAM,1.0,O0,62,0.0494726426666236,66.887272676003,62,136,0,1351,5429,344,5773,37
gemver,SMALL,15,ALL_BRAM,1.0,O2,171,0.0494726426666236,66.887272676003,169,267,0,2338,6487,666,7153,71
gemver,SMALL,15,ALL_BRAM,1.0,O3,171,0.0494726426666236,66.887272676003,169,267,0,2338,6487,666,7153,71
gemver,SMALL,15,ALL_BRAM,1.75,O0,62,0.0494726426666236,66.887272676003,62,136,0,1351,5429,344,5773,37
gemver,SMALL,15,ALL_BRAM,1.75,O2,171,0.0494726426666236,66.887272676003,169,267,0,2338,6487,666,7153,71
gemver,SMALL,15,ALL_BRAM,1.75,O3,171,0.0494726426666236,66.887272676003,169,267,0,2338,6487,666,7153,71
gemver,SMALL,15,LSS,1.0,O0,63,0.0494726426666236,66.887272676003,73,136,0,1511,5697,476,6173,42
gemver,SMALL,15,LSS,1.0,O2,167,0.0494726426666236,66.887272676003,202,267,0,2658,6755,803,7558,81
gemver,SMALL,15,LSS,1.0,O3,167,0.0494726426666236,66.887272676003,202,267,0,2658,6755,803,7558,81
gemver,SMALL,15,LSS,1.75,O0,63,0.0494726426666236,66.887272676003,73,136,0,1511,5697,476,6173,42
gemver,SMALL,15,LSS,1.75,O2,167,0.0494726426666236,66.887272676003,202,267,0,2658,6755,803,7558,81
gemver,SMALL,15,LSS,1.75,O3,167,0.0494726426666236,66.887272676003,202,267,0,2658,6755,803,7558,81
gesummv,MEDIUM,10,ALL_BRAM,1.0,O0,52,0.0363999969999984,100.3653297702541,50,90,2,856,4927,278,5205,21
gesummv,MEDIUM,10,ALL_BRAM,1.0,O2,50,0.0363999969999984,100.3653297702541,48,90,2,792,4927,278,5205,20
gesummv,MEDIUM,10,ALL_BRAM,1.0,O3,50,0.0363999969999984,100.3653297702541,48,90,2,792,4927,278,5205,20
gesummv,MEDIUM,10,ALL_BRAM,1.75,O0,60,0.0170666606666802,100.17095837552512,58,90,2,856,4927,278,5205,21
gesummv,MEDIUM,10,ALL_BRAM,1.75,O2,58,0.0170666606666802,100.17095837552512,56,90,2,792,4927,278,5205,20
gesummv,MEDIUM,10,ALL_BRAM,1.75,O3,58,0.0170666606666802,100.17095837552512,56,90,2,792,4927,278,5205,20
gesummv,MEDIUM,10,LSS,1.0,O0,52,0.0363999969999984,100.3653297702541,60,90,0,792,5195,279,5474,20
gesummv,MEDIUM,10,LSS,1.0,O2,52,0.0363999969999984,100.3653297702541,60,90,0,856,5195,277,5472,21
gesummv,MEDIUM,10,LSS,1.0,O3,52,0.0363999969999984,100.3653297702541,60,90,0,856,5195,277,5472,21
gesummv,MEDIUM,10,LSS,1.75,O0,60,0.0170666606666802,100.17095837552512,68,90,0,792,5195,279,5474,20
gesummv,MEDIUM,10,LSS,1.75,O2,60,0.0170666606666802,100.17095837552512,68,90,0,856,5195,277,5472,21
gesummv,MEDIUM,10,LSS,1.75,O3,60,0.0170666606666802,100.17095837552512,68,90,0,856,5195,277,5472,21
gesummv,MEDIUM,15,ALL_BRAM,1.0,O0,41,0.0494726426666236,66.887272676003,39,90,0,760,4927,277,5204,19
gesummv,MEDIUM,15,ALL_BRAM,1.0,O2,39,0.0494726426666236,66.887272676003,37,90,0,824,4927,310,5237,20
gesummv,MEDIUM,15,ALL_BRAM,1.0,O3,39,0.0494726426666236,66.887272676003,37,90,0,824,4927,310,5237,20
gesummv,MEDIUM,15,ALL_BRAM,1.75,O0,41,0.0494726426666236,66.887272676003,39,90,0,760,4927,277,5204,19
gesummv,MEDIUM,15,ALL_BRAM,1.75,O2,39,0.0494726426666236,66.887272676003,37,90,0,824,4927,310,5237,20
gesummv,MEDIUM,15,ALL_BRAM,1.75,O3,39,0.0494726426666236,66.887272676003,37,90,0,824,4927,310,5237,20
gesummv,MEDIUM,15,LSS,1.0,O0,41,0.0494726426666236,66.887272676003,49,90,0,792,5195,279,5474,20
gesummv,MEDIUM,15,LSS,1.0,O2,41,0.0494726426666236,66.887272676003,49,90,0,856,5195,277,5472,21
gesummv,MEDIUM,15,LSS,1.0,O3,41,0.0494726426666236,66.887272676003,49,90,0,856,5195,277,5472,21
gesummv,MEDIUM,15,LSS,1.75,O0,41,0.0494726426666236,66.887272676003,49,90,0,792,5195,279,5474,20
gesummv,MEDIUM,15,LSS,1.75,O2,41,0.0494726426666236,66.887272676003,49,90,0,856,5195,277,5472,21
gesummv,MEDIUM,15,LSS,1.75,O3,41,0.0494726426666236,66.887272676003,49,90,0,856,5195,277,5472,21
gesummv,SMALL,10,ALL_BRAM,1.0,O0,52,0.0363999969999984,100.3653297702541,50,90,2,858,4927,278,5205,20
gesummv,SMALL,10,ALL_BRAM,1.0,O2,50,0.0363999969999984,100.3653297702541,48,90,2,794,4927,278,5205,19
gesummv,SMALL,10,ALL_BRAM,1.0,O3,50,0.0363999969999984,100.3653297702541,48,90,2,794,4927,278,5205,19
gesummv,SMALL,10,ALL_BRAM,1.75,O0,60,0.0170666606666802,100.17095837552512,58,90,2,858,4927,278,5205,20
gesummv,SMALL,10,ALL_BRAM,1.75,O2,58,0.0170666606666802,100.17095837552512,56,90,2,794,4927,278,5205,19
gesummv,SMALL,10,ALL_BRAM,1.75,O3,58,0.0170666606666802,100.17095837552512,56,90,2,794,4927,278,5205,19
gesummv,SMALL,10,LSS,1.0,O0,52,0.0363999969999984,100.3653297702541,60,90,0,794,5195,279,5474,19
gesummv,SMALL,10,LSS,1.0,O2,52,0.0363999969999984,100.3653297702541,60,90,0,858,5195,277,5472,20
gesummv,SMALL,10,LSS,1.0,O3,52,0.0363999969999984,100.3653297702541,60,90,0,858,5195,277,5472,20
gesummv,SMALL,10,LSS,1.75,O0,60,0.0170666606666802,100.17095837552512,68,90,0,794,5195,279,5474,19
gesummv,SMALL,10,LSS,1.75,O2,60,0.0170666606666802,100.17095837552512,68,90,0,858,5195,277,5472,20
gesummv,SMALL,10,LSS,1.75,O3,60,0.0170666606666802,100.17095837552512,68,90,0,858,5195,277,5472,20
gesummv,SMALL,15,ALL_BRAM,1.0,O0,41,0.0494726426666236,66.887272676003,39,90,0,762,4927,277,5204,18
gesummv,SMALL,15,ALL_BRAM,1.0,O2,39,0.0494726426666236,66.887272676003,37,90,0,826,4927,310,5237,19
gesummv,SMALL,15,ALL_BRAM,1.0,O3,39,0.0494726426666236,66.887272676003,37,90,0,826,4927,310,5237,19
gesummv,SMALL,15,ALL_BRAM,1.75,O0,41,0.0494726426666236,66.887272676003,39,90,0,762,4927,277,5204,18
gesummv,SMALL,15,ALL_BRAM,1.75,O2,39,0.0494726426666236,66.887272676003,37,90,0,826,4927,310,5237,19
gesummv,SMALL,15,ALL_BRAM,1.75,O3,39,0.0494726426666236,66.887272676003,37,90,0,826,4927,310,5237,19
gesummv,SMALL,15,LSS,1.0,O0,41,0.0494726426666236,66.887272676003,49,90,0,794,5195,279,5474,19
gesummv,SMALL,15,LSS,1.0,O2,41,0.0494726426666236,66.887272676003,49,90,0,858,5195,277,5472,20
gesummv,SMALL,15,LSS,1.0,O3,41,0.0494726426666236,66.887272676003,49,90,0,858,5195,277,5472,20
gesummv,SMALL,15,LSS,1.75,O0,41,0.0494726426666236,66.887272676003,49,90,0,794,5195,279,5474,19
