benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,design_name,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,log_file
gemm,SMALL,10,ALL_BRAM,1.75,O3,kernel_gemm,163,0.017066660666680278,100.17095837552512,161,404,85,1942,7315,477,7792,68,0,gemm_SMALL_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
gemm,SMALL,10,LSS,1.0,O0,kernel_gemm,37,0.03639999699999841,100.3653297702541,40,215,3,990,6539,141,6680,30,0,gemm_SMALL_clk10_memLSS_dsp1.0_optO0_log.txt
gemm,SMALL,10,LSS,1.0,O2,kernel_gemm,101,0.03639999699999841,100.3653297702541,115,354,20,1656,7180,442,7622,57,0,gemm_SMALL_clk10_memLSS_dsp1.0_optO2_log.txt
gemm,SMALL,10,LSS,1.0,O3,kernel_gemm,137,0.03639999699999841,100.3653297702541,159,406,85,1942,7651,511,8162,68,0,gemm_SMALL_clk10_memLSS_dsp1.0_optO3_log.txt
gemm,SMALL,10,LSS,1.75,O0,kernel_gemm,43,0.017066660666680278,100.17095837552512,46,215,3,990,6539,141,6680,30,0,gemm_SMALL_clk10_memLSS_dsp1.75_optO0_log.txt
gemm,SMALL,10,LSS,1.75,O2,kernel_gemm,123,0.017066660666680278,100.17095837552512,137,354,20,1656,7180,442,7622,57,0,gemm_SMALL_clk10_memLSS_dsp1.75_optO2_log.txt
gemm,SMALL,10,LSS,1.75,O3,kernel_gemm,169,0.017066660666680278,100.17095837552512,191,406,85,1942,7651,511,8162,68,0,gemm_SMALL_clk10_memLSS_dsp1.75_optO3_log.txt
gemm,SMALL,15,ALL_BRAM,1.0,O0,kernel_gemm,29,0.0494726426666805,66.88727267600325,27,214,0,958,6237,139,6376,29,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
gemm,SMALL,15,ALL_BRAM,1.0,O2,kernel_gemm,72,0.049472642666623656,66.887272676003,70,353,0,1592,6878,378,7256,55,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
gemm,SMALL,15,ALL_BRAM,1.0,O3,kernel_gemm,94,0.049472642666623656,66.887272676003,92,403,0,1878,7281,511,7792,66,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
gemm,SMALL,15,ALL_BRAM,1.75,O0,kernel_gemm,29,0.0494726426666805,66.88727267600325,27,214,0,958,6237,139,6376,29,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
gemm,SMALL,15,ALL_BRAM,1.75,O2,kernel_gemm,72,0.049472642666623656,66.887272676003,70,353,0,1592,6878,378,7256,55,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
gemm,SMALL,15,ALL_BRAM,1.75,O3,kernel_gemm,94,0.049472642666623656,66.887272676003,92,403,0,1878,7281,511,7792,66,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
gemm,SMALL,15,LSS,1.0,O0,kernel_gemm,30,0.0494726426666805,66.88727267600325,33,214,0,990,6505,141,6646,30,0,gemm_SMALL_clk15_memLSS_dsp1.0_optO0_log.txt
gemm,SMALL,15,LSS,1.0,O2,kernel_gemm,76,0.049472642666623656,66.887272676003,90,353,0,1656,7146,442,7588,57,0,gemm_SMALL_clk15_memLSS_dsp1.0_optO2_log.txt
gemm,SMALL,15,LSS,1.0,O3,kernel_gemm,102,0.04947264266673734,66.8872726760035,124,403,0,1942,7549,511,8060,68,0,gemm_SMALL_clk15_memLSS_dsp1.0_optO3_log.txt
gemm,SMALL,15,LSS,1.75,O0,kernel_gemm,30,0.0494726426666805,66.88727267600325,33,214,0,990,6505,141,6646,30,0,gemm_SMALL_clk15_memLSS_dsp1.75_optO0_log.txt
gemm,SMALL,15,LSS,1.75,O2,kernel_gemm,76,0.049472642666623656,66.887272676003,90,353,0,1656,7146,442,7588,57,0,gemm_SMALL_clk15_memLSS_dsp1.75_optO2_log.txt
gemm,SMALL,15,LSS,1.75,O3,kernel_gemm,102,0.04947264266673734,66.8872726760035,124,403,0,1942,7549,511,8060,68,0,gemm_SMALL_clk15_memLSS_dsp1.75_optO3_log.txt
