,clock_period,dsp_coeff,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,source_lines,num_for_loops,num_while_loops,num_total_loops,max_loop_depth,num_if_statements,num_array_accesses,num_add_ops,num_sub_ops,num_mul_ops,num_div_ops,num_arithmetic_ops,num_assignments,num_function_calls,num_var_decls,yosys_num_wires,yosys_num_wire_bits,yosys_num_pub_wires,yosys_num_pub_wire_bits,yosys_num_memories,yosys_num_memory_bits,yosys_num_processes,yosys_num_cells,yosys_total_modules,yosys_total_wires,yosys_total_wire_bits,yosys_total_pub_wires,yosys_total_pub_wire_bits,yosys_total_memories,yosys_total_memory_bits,yosys_total_processes,yosys_total_cells,openroad_clock_constraint,openroad_tns,openroad_wns,openroad_worst_slack,openroad_clock_period_min,openroad_fmax,openroad_critical_path_delay,openroad_critical_path_slack,openroad_setup_violation_count,openroad_hold_violation_count,openroad_max_slew_violation_count,openroad_max_cap_violation_count,openroad_total_power,openroad_synth_chip_area
clock_period,1.0,0.001154734411085379,-0.21903649667548522,0.1218958618816063,-0.9041854744353459,-0.2038471266891562,-0.00015970711517308814,-0.19994191589515736,-0.02094272065239285,-0.000915106268872535,-0.012010000905783733,-0.0017680102129995626,-0.02287662449675443,,-3.286896314123854e-05,-0.000695639478411645,,-0.000695639478411645,-0.00028021654444993193,0.00047244934563932175,0.001029274116793494,0.0009367983409973506,0.0007194596214379246,-0.0002810374370471124,-2.794871351419602e-05,0.00040531660151196206,-5.0812486000115945e-05,0.0004872122060158815,-0.001206445418993146,0.00802744882611418,-0.03672672497995836,0.00802744882611418,-0.03672672497995836,,,,,-0.04630585273983506,-0.1396179976952904,-0.1953550650456627,-0.08290240565423343,-0.11014631386732761,,,,-0.21132572636459673,,,,,,,,,,,,,,
dsp_coeff,0.001154734411085379,1.0,0.05723300264713787,-0.0010100793642140596,-0.0029075237949561512,0.05266283114601393,0.0001850327216868619,0.00028336078178197864,0.0007785755222853182,-0.00034733063385199885,0.0010800611056267155,-0.0002486275633275581,0.0007812841762234979,,-3.286896313885947e-05,-0.000695639478409189,,-0.000695639478409189,-0.0002802165444504478,0.0004724493456387205,0.001029274116794591,0.0009367983409973202,0.0007194596214379631,-0.000281037437045342,-2.7948713513721255e-05,0.0004053166015130274,-5.081248599750599e-05,0.0004872122060183879,-0.0012064454189909734,0.016978129304428186,0.009822422640698126,0.016978129304428186,0.009822422640698126,,,,,0.015848946551137718,0.03741175926336341,-0.03021984630982396,0.0339108597570947,0.06892856387482933,,,,0.10476650407303255,,,,,,,,,,,,,,
control_steps,-0.21903649667548522,0.05723300264713787,1.0,-0.25990189393210167,0.05965217891420368,0.988278888631431,0.5747369408159527,0.4237513731642363,0.7768217975510414,0.6567498465318194,0.8584447598311712,0.6874305576816326,0.7009924749392944,,0.2500777893674972,0.19807708240767707,,0.19807708240767707,-0.0035943350889583105,-0.2894766008121796,-0.07322336176336423,-0.18606068034961148,-0.3663216959951682,-0.028279549229839218,0.5664193269911828,-0.10680079785292204,-0.05409856634403946,0.18465594301319174,0.23488077626321865,0.8038940662606712,0.8182940475260886,0.8038940662606712,0.8182940475260886,,,,,0.8130731363793363,0.9251602948241043,0.8342089353707387,0.8596723299747971,0.932604274730854,,,,0.9344888853519253,0.13766148296743577,,,-0.020454773289707233,0.2279691471570693,-0.3189127294800192,0.286026714200432,-0.019971661011240475,,,,0.029873307097573906,-0.14249040152636933,0.44810952009285926
min_slack,0.1218958618816063,-0.0010100793642140596,-0.25990189393210167,1.0,0.05611273174928845,-0.258629011805072,-0.2856865494452555,-0.09518952259744488,-0.1827863842870811,-0.3601660262586573,-0.25762543518973946,-0.3610226270396054,-0.20874632956418643,,-0.34408676657865556,-0.16757247058344055,,-0.16757247058344055,-0.0007478563990355455,0.07536413366796833,0.13255054561756513,0.5286847449958884,0.4767576547166631,-0.13151110129680102,-0.25328652164973375,0.22732921983670357,-0.10033542408288852,-0.284098049530636,-0.19052464567006558,-0.005547892956402333,-0.03865243742048688,-0.005547892956402333,-0.03865243742048688,,,,,-0.051269342473078496,-0.1469909593333979,-0.1452466585691789,-0.09584015441408986,-0.14480720446893158,,,,-0.2577157239036837,0.06538394032082036,,,0.19988008879743194,-0.1979216561957356,0.10321217865890527,-0.22067706472206342,0.19999587013026415,,,,0.8836063674824868,-0.09603641086887667,-0.35330495207009566
frequency_mhz,-0.9041854744353459,-0.0029075237949561512,0.05965217891420368,0.05611273174928845,1.0,0.04781348815628334,-0.0737703317305764,0.16440631775795103,-0.1058917381498694,-0.26735407791788623,-0.1405752956418657,-0.26419443002379006,-0.06383716537757268,,-0.04190498894519412,-0.009413331210408781,,-0.009413331210408781,-0.06854181806936682,0.14587698751303627,0.09990867477955151,0.0857455932184358,0.09985425054790471,0.030934296715298047,-0.15045502066027264,0.05466915150275174,0.05812804492913633,-0.0299441692763584,-0.0912622228190074,-0.008125625022412989,0.03666406387074903,-0.008125625022412989,0.03666406387074903,,,,,0.046206581893565815,0.13937937118724752,0.19550415179766953,0.0826922951317729,0.10972750594067575,,,,0.21068294531368603,0.07914978142671958,,,0.42297938209109204,-0.5040396891142379,0.6093150342626051,-0.5750140001416963,0.42294166057890575,,,,-0.15769520383780725,-0.12613017325510664,-0.6229884670059291
states,-0.2038471266891562,0.05266283114601393,0.988278888631431,-0.258629011805072,0.04781348815628334,1.0,0.5813721672200693,0.41353383691446277,0.7982583692397303,0.658318160437347,0.8863752585967392,0.691011058510562,0.7247554765337791,,0.2502885770971144,0.19690942076464002,,0.19690942076464002,0.011619917862712683,-0.2680045015714031,-0.0700990545603224,-0.19243416629921783,-0.37247637767043884,-0.03914181189094679,0.5619484361024144,-0.11773952231355883,-0.05695904735237002,0.18949280355197143,0.23490740665836635,0.8798641479419128,0.8696432197925514,0.8798641479419128,0.8696432197925514,,,,,0.8314520974854257,0.9526110965967604,0.8312329548156651,0.9180915989225915,0.9470653592167017,,,,0.946795573432712,0.14582574306334617,,,-0.014789405326233252,0.23144048510055584,-0.32286145872966204,0.286843016022183,-0.014309275247300805,,,,0.040083662772290536,-0.15473961341727244,0.46385052010424066
modules_instantiated,-0.00015970711517308814,0.0001850327216868619,0.5747369408159527,-0.2856865494452555,-0.0737703317305764,0.5813721672200693,1.0,0.6702888090859479,0.7826165859174251,0.6934381335472358,0.6114655953882168,0.7037368085427793,0.8527408625672931,,0.4127478933214207,0.7282563348941767,,0.7282563348941767,0.15604415589679052,-0.1736395510160238,0.17666916782734926,-0.19639867969095168,-0.2600481291484861,0.23057586700132462,0.21377485629600487,0.007520228390588003,0.33582195644300056,0.29000356032168345,0.7763195024072359,0.5562743089163679,0.2860622573156491,0.5562743089163679,0.2860622573156491,,,,,0.7619177814658082,0.6611566282957231,0.4536022040387578,0.664094607111545,0.6685654970461035,,,,0.6832119245366902,-0.13325475008409363,,,-0.2869967704539141,0.22752853749505048,-0.219248992329679,0.2717005264017284,-0.2867578949259254,,,,-0.23766574865893283,0.12699212005837707,0.7077601235377199
performance_conflicts,-0.19994191589515736,0.00028336078178197864,0.4237513731642363,-0.09518952259744488,0.16440631775795103,0.41353383691446277,0.6702888090859479,1.0,0.5284842619516643,0.4463406319939373,0.3528132394741716,0.4499154965484987,0.5729376499848207,,0.26820781449965686,0.46724586580513416,,0.46724586580513416,0.06985099980496545,-0.07241923549708465,0.2009153969070856,-0.0452832731697958,-0.1350472199211817,0.10288931252449598,0.1408470253554211,0.01940043427978004,0.19264384053390232,0.21469464295876534,0.5051747165237103,0.47001505116020825,0.5026093194953959,0.47001505116020825,0.5026093194953959,,,,,0.6008858203639265,0.6325676067529878,0.5415514732082154,0.5663995877721703,0.6476167405829614,,,,0.6596423210775786,0.08830609791878352,,,-0.018568880708694047,0.15419456585575328,-0.15409300356754516,0.16613793523371137,-0.018202120415745655,,,,-0.09787509922184971,-0.11939619173577067,0.5372996015013562
flipflops,-0.02094272065239285,0.0007785755222853182,0.7768217975510414,-0.1827863842870811,-0.1058917381498694,0.7982583692397303,0.7826165859174251,0.5284842619516643,1.0,0.662004008428766,0.8568148571439417,0.6922935430334963,0.9737480599642866,,0.2222796334719634,0.3861758786919365,,0.3861758786919365,0.18763968274525547,-0.04039032662114671,0.18233243090265888,-0.04353286635162604,-0.2531998638276914,-0.0630192447143312,0.3801741404659242,-0.069875824073605,-0.0028981202371549655,0.14610678199854044,0.4204386604343586,0.9365271530877055,0.9025717794074498,0.9365271530877055,0.9025717794074498,,,,,0.8962008540773578,0.9667702707141217,0.8267012546621246,0.9584443582498513,0.9852516418571444,,,,0.9335661881512766,0.03678300251368907,,,-0.007844174742691789,0.06438813520645187,-0.13083030469369805,0.11330934013907189,-0.007408101653239303,,,,0.18551497122706478,-0.06065521117573144,0.27734453060285313
area_est,-0.000915106268872535,-0.00034733063385199885,0.6567498465318194,-0.3601660262586573,-0.26735407791788623,0.658318160437347,0.6934381335472358,0.4463406319939373,0.662004008428766,1.0,0.6625165429414406,0.9984241870740793,0.6053536097582014,,0.23522215524707796,0.39890871718394016,,0.39890871718394016,-0.003371935252626645,-0.5310594062582645,-0.2594102716702265,-0.4090984819316185,-0.5267282248330557,-0.027896461684327814,0.4497609486255439,-0.25665453933393023,-0.06194669616777063,0.11734287222720251,0.6478310638139054,0.5187626188808183,0.19874900972262294,0.5187626188808183,0.19874900972262294,,,,,0.6544042857508232,0.5944376357885641,0.3806631577934184,0.6077874008565808,0.5470347216145335,,,,0.6085786516737778,-0.13922905593632035,,,-0.4974075073867713,0.5263213875346264,-0.5919476471492833,0.6056880041065765,-0.49724388120536206,,,,-0.02607321765289503,0.17313166039959918,0.8413677255205331
