target,label,count,mean,median,std,min,q25,q75,max
openroad_synth_chip_area,Final ASIC area,18,42523.33633333334,44335.683000000005,14719.355559573121,11447.842,37039.9015,49241.0555,75947.788
openroad_critical_path_delay,Final critical path delay,18,4.40773888888889,5.25845,1.3448374754807793,2.0771,3.054925,5.42785,5.8108
openroad_total_power,Final total power,18,0.029401666666666666,0.0057,0.06938327305202432,0.00219,0.0052025000000000005,0.0102425,0.295
