evaluation,target,feature_mode,model,folds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
kfold,total_area,full,linear_regression,5,3.060037348454514e-12,1.0152899012128909e-12,4.503305248270776e-12,1.4420821050546724e-12,1.0,0.0
kfold,total_area,full,random_forest,5,9.568299368194653,1.398509779394502,19.114241493543343,4.056297348417992,0.9999207127107503,3.693130215112509e-05
kfold,total_area,full,gradient_boosting,5,15.510248432082216,1.1109430331906949,22.890377993070263,4.433537028330438,0.9998911614789925,3.6074097492172715e-05
kfold,total_area,no_leakage,linear_regression,5,64.83347758730451,6.462836896194721,87.59929647857491,11.252616004439538,0.9983940794937707,0.0004724144164462993
kfold,total_area,no_leakage,random_forest,5,17.92828871488104,4.531749412262538,34.659979847670535,10.963255361809297,0.9997220781098815,0.00017964428407084182
kfold,total_area,no_leakage,gradient_boosting,5,36.029353179346046,2.509490233131002,49.74447432198481,5.724215628807362,0.9994826782678599,0.00013777125760168534
kfold,control_steps,full,linear_regression,5,2.959473527424495,0.15648054515175905,3.8926293642846437,0.2328301907117865,0.9933138494427999,0.0007033120340307627
kfold,control_steps,full,random_forest,5,1.038871857776583,0.11252998911144026,2.62522612929265,0.4708954114786686,0.9968947879157388,0.0010398233798286959
kfold,control_steps,full,gradient_boosting,5,1.1788786440481045,0.05140819441263458,1.782603850553962,0.10589778180051694,0.9985905980933287,0.000224963265393561
kfold,control_steps,no_leakage,linear_regression,5,10.794874422476388,0.7701705366640087,14.834129990109371,1.0261808390361198,0.902498791233619,0.015441397136175232
kfold,control_steps,no_leakage,random_forest,5,1.5714396760317246,0.3259309780723208,3.6769083783980703,1.3186613826179114,0.9932538677162063,0.00579190219623933
kfold,control_steps,no_leakage,gradient_boosting,5,3.0493513301549733,0.3106096968869303,4.710443202668769,0.877312198469812,0.9897730790476599,0.004422322660479729
