evaluation,normalized_target,original_target,model,scaler,reduction,rows,features,test_rows,mae_original,rmse_original,r2_original,relative_mae_original,include_benchmark_onehot,folds,mae_original_std,rmse_original_std,r2_original_std,relative_mae_original_std,groups
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.8,standard,none,18,64,,16722.57347891293,16722.57347891293,0.0,0.45183940388546706,False,,10946.997553156072,10946.997553156072,,0.3185188234950358,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.2,standard,none,18,64,5.0,8693.407635094558,9021.896811483617,0.662026575314385,0.167395950321972,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.2,standard,none,18,64,,9371.854202484228,10551.114061726646,-0.7416530108245145,0.22546164454662304,False,5.0,3799.641279862113,4194.668814603022,1.370326881652936,0.07145449526611536,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.2,standard,none,18,64,,10056.60196996188,10056.60196996188,0.0,0.293146886836142,False,,6036.9859915791385,6036.9859915791385,,0.22790306094707327,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.5,standard,none,18,64,5.0,10799.090556936133,11153.369752422084,0.48346584786238,0.20794193741631617,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.5,standard,none,18,64,,9726.20107013742,10838.333649722706,-0.7315209083480214,0.22886060407572134,False,5.0,4762.174107039473,5365.954720641364,1.168095788858329,0.07321784547597288,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.5,standard,none,18,64,,10083.677338729472,10083.677338729472,0.0,0.3086415439026822,False,,7359.668902273061,7359.668902273061,,0.2972291872407817,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.8,standard,none,18,64,5.0,11681.893032862294,12043.636282189278,0.3977149209983939,0.22494074451328053,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.8,standard,none,18,64,,9238.161762588477,10130.873518758799,-0.7080919758840195,0.21691616289873106,False,5.0,4156.649458990456,4433.202688912564,1.3854391717086028,0.0584235601061812,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.8,standard,none,18,64,,9035.910448655502,9035.910448655502,0.0,0.28009080303400086,False,,5484.165114991651,5484.165114991651,,0.26101815597571076,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.2,standard,none,18,64,5.0,9610.332613258997,10033.28652019288,0.5820028982645145,0.18505180341623684,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.2,standard,none,18,64,,8902.356208630103,10661.575109905263,-1.1564860494162545,0.21172451657825198,False,5.0,4204.293220900728,5945.6818709269455,2.0485862174089937,0.08282505233018458,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.2,standard,none,18,64,,9042.637492750708,9042.637492750708,0.0,0.27281342411838555,False,,9745.357600058953,9745.357600058953,,0.4025435294631822,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.5,standard,none,18,64,5.0,8898.144420230445,9301.584402307662,0.6407467515598652,0.17133826042087194,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.5,standard,none,18,64,,7318.778834018051,8455.66206862278,-0.8344125001221038,0.17715870508055637,False,5.0,2631.7581207694484,2321.2271069692865,2.8257693550697147,0.04943445482024956,
