evaluation,target,feature_set,include_benchmark_onehot,model,scaler,reduction,rows,features,test_rows,mae,rmse,r2,relative_mae,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups,error
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a0.001_l10.8,standard,none,18.0,18.0,5.0,20406.84488201189,25530.01749279767,-1.7063818120697238,0.39294409459269475,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a0.001_l10.8,standard,none,18.0,18.0,,24766.612474764854,31447.804552092857,-11.656775677793132,0.6883656653964539,5.0,12172.440633592172,21449.43750743581,8.972360098787014,0.5780267933417055,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a0.001_l10.8,standard,none,18.0,18.0,,14742.392108132983,14742.392108132983,0.0,0.5518619367796423,,21473.9284234097,21473.9284234097,,1.0491628936494197,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a0.01_l10.2,standard,none,18.0,18.0,5.0,15743.71249878213,18579.719026277387,-0.43339249252738865,0.30315312774366154,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a0.01_l10.2,standard,none,18.0,18.0,,14080.242513009569,16067.558114589963,-2.193724416272303,0.3590543424704823,5.0,4896.50325567849,5733.010046623585,1.6641289339239296,0.1761243366277406,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a0.01_l10.2,standard,none,18.0,18.0,,12690.290111106155,12690.290111106155,0.0,0.5007620560552157,,11013.543643449973,11013.543643449973,,0.8453188477480005,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a0.01_l10.5,standard,none,18.0,18.0,5.0,16115.871414540645,19053.74252976643,-0.5074656545500651,0.31031923544148765,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a0.01_l10.5,standard,none,18.0,18.0,,14044.158839025815,15895.941783972568,-2.0249377360670975,0.36002691451498664,5.0,5435.590631248343,6110.544574978528,1.7126298026734987,0.19444370897963742,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a0.01_l10.5,standard,none,18.0,18.0,,12350.14706579894,12350.14706579894,0.0,0.4895832218794501,,11396.040265508625,11396.040265508625,,0.8366184959378151,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a0.01_l10.8,standard,none,18.0,18.0,5.0,17034.109777100686,20331.486930628576,-0.7164261589777132,0.3280003784149653,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a0.01_l10.8,standard,none,18.0,18.0,,15059.226077382886,16653.510912243124,-2.389505555824615,0.3892113676555048,5.0,5630.20481430451,6420.511266759744,2.1862227608123894,0.21924811149581525,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a0.01_l10.8,standard,none,18.0,18.0,,12289.914283534601,12289.914283534601,0.0,0.4820619532013526,,12597.917351718845,12597.917351718845,,0.8160448307049405,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a0.1_l10.2,standard,none,18.0,18.0,5.0,13208.615132922467,15705.633311410038,-0.024230604044131132,0.254338548866251,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a0.1_l10.2,standard,none,18.0,18.0,,13266.410381906457,15402.280383167603,-3.1474118925419736,0.33564647919950835,5.0,2247.582622874401,3572.507481286585,3.8962131238213127,0.11285783248963537,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a0.1_l10.2,standard,none,18.0,18.0,,12002.693600483759,12002.693600483759,0.0,0.4457319351898798,,8712.411362971061,8712.411362971061,,0.7155303030053388,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a0.1_l10.5,standard,none,18.0,18.0,5.0,13803.018569629285,16450.59447386124,-0.12369910428240671,0.2657840869496727,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a0.1_l10.5,standard,none,18.0,18.0,,13582.027587804661,15884.722945866402,-3.1234672581518295,0.3415923809145435,5.0,2468.7170368709426,3848.460046719716,3.565791202385539,0.10652765680818845,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a0.1_l10.5,standard,none,18.0,18.0,,12553.063146544002,12553.063146544002,0.0,0.47386025092572565,,9242.697395169766,9242.697395169766,,0.7619003516054375,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a0.1_l10.8,standard,none,18.0,18.0,5.0,14921.429786739562,17632.658625612563,-0.29098869852041664,0.28731965923586655,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a0.1_l10.8,standard,none,18.0,18.0,,13986.411164995146,16305.865397636531,-2.7500253996964568,0.35274155968013166,5.0,3624.982450424067,4748.698732478516,2.4789186457384425,0.13333951711129413,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a0.1_l10.8,standard,none,18.0,18.0,,13022.672785188191,13022.672785188191,0.0,0.50513809803905,,10308.459468616824,10308.459468616824,,0.8294185718100655,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a1.0_l10.2,standard,none,18.0,18.0,5.0,10008.630376242236,11807.737924283862,0.421077735746364,0.1927212278058789,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a1.0_l10.2,standard,none,18.0,18.0,,11037.439286066565,12221.989280280312,-1.91037300009724,0.2920088868563787,5.0,3572.4466728283687,3852.7617324523635,2.863335353118662,0.17581243480124262,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a1.0_l10.2,standard,none,18.0,18.0,,9265.792523771097,9265.792523771097,0.0,0.3143551063221519,,7363.227593424476,7363.227593424476,,0.5473386622832691,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a1.0_l10.5,standard,none,18.0,18.0,5.0,10489.037962363473,12331.551674614442,0.3685742398997002,0.20197171826902102,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a1.0_l10.5,standard,none,18.0,18.0,,11432.913966477097,12765.70972255373,-2.265647554149888,0.2992505267463783,5.0,3219.874793820636,3693.057704935975,3.3245974475059827,0.16125478443854038,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a1.0_l10.5,standard,none,18.0,18.0,,9575.964889062814,9575.964889062814,0.0,0.32841647800774837,,7616.594502902307,7616.594502902307,,0.567822108871486,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a1.0_l10.8,standard,none,18.0,18.0,5.0,11863.936709249783,13967.874734022027,0.18988345000161277,0.2284460873532931,,,,,,,
